,0
0,0.8
1,1.0
2,1.0
3,0.6
4,0.7
5,0.9
6,1.0
7,0.9
8,0.5
9,0.6
10,0.8
11,1.0
12,1.0
13,1.0
14,0.6
15,0.6
16,0.8
17,0.8
18,0.8
19,0.9
20,0.875
21,0.8
22,1.0
23,0.75
24,0.8
25,0.6
26,0.9
27,0.7
28,0.8
29,0.4
30,1.0
31,0.8
32,0.8
33,0.96
34,0.9
35,0.8
36,0.625
37,0.6
38,0.625
39,0.8
40,0.6
41,0.6
42,0.8
43,0.875
44,0.7
45,0.6
46,1.0
47,0.7
48,0.8
49,0.6
50,0.5
51,0.7
52,0.875
53,0.6
54,0.6
55,1.0
56,0.8
57,0.875
58,0.75
59,1.0
60,0.8
61,1.0
62,0.875
63,0.625
64,1.0
65,0.3
66,0.7
67,1.0
68,0.75
69,1.0
70,0.8
71,0.9
72,1.0
73,0.4
74,0.375
75,0.8
76,1.0
77,0.4
78,0.9
79,0.6
80,1.0
81,0.9
82,0.6
83,0.95
84,0.8
85,0.8
86,0.6
87,0.75
88,0.625
89,0.875
90,0.8
91,1.0
92,0.875
93,0.82
94,0.5
95,1.0
96,1.0
97,0.625
98,0.5
99,0.7
100,1.0
